source,package
"crates","slog-scope-stdlog"
"crates","simple-parser-bootstrap"
"crates","cg"
"crates","ucd-generate"
"crates","regular-expression-bootstrap"
"crates","crypto-tests"
"crates","regular-expression"
"crates","blake-hash"
"crates","pathfinder_text"
"crates","reference-trie"
"crates","simple-lexer-bootstrap"
"crates","pest_generator_tmp"
"crates","clap_up"
"crates","multipart-nickel"
"crates","mail-template"
"crates","mail-headers"
"crates","mail-smtp"
"crates","simple-parser"
"crates","simple-lexer"
"crates","trie-bench"
"crates","threefish-cipher"
"crates","jh-x86_64"
"crates","ppv-null"
"crates","slog-example-lib"
"crates","pest_generator"
"crates","pest_derive"
